分类: 📡卫视频道, 名称: 甘肃卫视, 总数: 128, 有效: 8, 有效率: 6.25%, IPv4: 128, IPv6: 0, 最小延迟: 165 ms, 最高速率: 4.07 M/s, 平均速率: 2.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广西卫视, 总数: 171, 有效: 10, 有效率: 5.85%, IPv4: 171, IPv6: 0, 最小延迟: 160 ms, 最高速率: 6.17 M/s, 平均速率: 2.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.91, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 贵州卫视, 总数: 166, 有效: 17, 有效率: 10.24%, IPv4: 166, IPv6: 0, 最小延迟: 48 ms, 最高速率: 74.73 M/s, 平均速率: 2.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.16, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海南卫视, 总数: 162, 有效: 6, 有效率: 3.70%, IPv4: 162, IPv6: 0, 最小延迟: 161 ms, 最高速率: 29.56 M/s, 平均速率: 2.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.44, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河北卫视, 总数: 185, 有效: 12, 有效率: 6.49%, IPv4: 185, IPv6: 0, 最小延迟: 15 ms, 最高速率: 70.70 M/s, 平均速率: 3.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.26, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河南卫视, 总数: 215, 有效: 14, 有效率: 6.51%, IPv4: 215, IPv6: 0, 最小延迟: 51 ms, 最高速率: 71.49 M/s, 平均速率: 2.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.09, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 吉林卫视, 总数: 185, 有效: 10, 有效率: 5.41%, IPv4: 185, IPv6: 0, 最小延迟: 14 ms, 最高速率: 8.42 M/s, 平均速率: 4.15 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.43, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江苏卫视, 总数: 233, 有效: 23, 有效率: 9.87%, IPv4: 233, IPv6: 0, 最小延迟: 103 ms, 最高速率: 117.60 M/s, 平均速率: 15.63 M/s, 最高分辨率: 3840x2160, 平均帧率: 33.93, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江西卫视, 总数: 201, 有效: 19, 有效率: 9.45%, IPv4: 201, IPv6: 0, 最小延迟: 95 ms, 最高速率: 129.03 M/s, 平均速率: 17.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.41, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 辽宁卫视, 总数: 204, 有效: 18, 有效率: 8.82%, IPv4: 204, IPv6: 0, 最小延迟: 89 ms, 最高速率: 139.46 M/s, 平均速率: 20.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 内蒙古卫视, 总数: 115, 有效: 10, 有效率: 8.70%, IPv4: 115, IPv6: 0, 最小延迟: 66 ms, 最高速率: 158.60 M/s, 平均速率: 26.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.47, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 宁夏卫视, 总数: 140, 有效: 8, 有效率: 5.71%, IPv4: 140, IPv6: 0, 最小延迟: 83 ms, 最高速率: 148.12 M/s, 平均速率: 30.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 青海卫视, 总数: 153, 有效: 8, 有效率: 5.23%, IPv4: 153, IPv6: 0, 最小延迟: 48 ms, 最高速率: 72.12 M/s, 平均速率: 4.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.95, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山东卫视, 总数: 193, 有效: 20, 有效率: 10.36%, IPv4: 193, IPv6: 0, 最小延迟: 105 ms, 最高速率: 119.57 M/s, 平均速率: 20.48 M/s, 最高分辨率: 3840x2160, 平均帧率: 34.68, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山西卫视, 总数: 117, 有效: 12, 有效率: 10.26%, IPv4: 117, IPv6: 0, 最小延迟: 98 ms, 最高速率: 145.07 M/s, 平均速率: 18.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.04, 视频编解码器: h264, 音频编解码器: mp2
